departamentocodigo,Departamento,municipiocodigo,Municipio,Nombre_comercial,bandera,Direccion,producto,precio,estado,fecharegistro,periodo,mes,Dir2,Full_Address,Coords
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS LOS ANGELES,PETROBRAS,AK 72 NO. 39 H-12 SUR,GASOLINA CORRIENTE,8567,1,2018-05-03,2018,5,AK 72 NO. 39 H-12 SUR,"AK 72 NO. 39 H-12 SUR, Bogota d.c., Colombia","(4.60302, -74.14303)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS LOS ANGELES,PETROBRAS,AK 72 NO. 39 H-12 SUR,GASOLINA EXTRA,11250,1,2018-05-03,2018,5,AK 72 NO. 39 H-12 SUR,"AK 72 NO. 39 H-12 SUR, Bogota d.c., Colombia","(4.60302, -74.14303)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS LOS ANGELES,PETROBRAS,AK 72 NO. 39 H-12 SUR,GASOLINA EXTRA OXIGENADA,11250,1,2018-05-03,2018,5,AK 72 NO. 39 H-12 SUR,"AK 72 NO. 39 H-12 SUR, Bogota d.c., Colombia","(4.60302, -74.14303)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS LOS ANGELES,PETROBRAS,AK 72 NO. 39 H-12 SUR,BIODIESEL EXTRA,7987,1,2018-05-03,2018,5,AK 72 NO. 39 H-12 SUR,"AK 72 NO. 39 H-12 SUR, Bogota d.c., Colombia","(4.60302, -74.14303)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS LOS ANGELES,PETROBRAS,AK 72 NO. 39 H-12 SUR,GASOLINA CORRIENTE OXIGENADA,8567,1,2018-05-03,2018,5,AK 72 NO. 39 H-12 SUR,"AK 72 NO. 39 H-12 SUR, Bogota d.c., Colombia","(4.60302, -74.14303)"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL NORTE,TERPEL,CARRERA 64C No. 103 GG- 75,GASOLINA CORRIENTE OXIGENADA,8620,1,2018-05-02,2018,5,CARRERA 64C No. 103 GG- 75,"CARRERA 64C No. 103 GG- 75, Medellin, Colombia","(6.30102, -75.56425)"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL NORTE,TERPEL,CARRERA 64C No. 103 GG- 75,GASOLINA EXTRA OXIGENADA,11070,1,2018-05-02,2018,5,CARRERA 64C No. 103 GG- 75,"CARRERA 64C No. 103 GG- 75, Medellin, Colombia","(6.30102, -75.56425)"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL NORTE,TERPEL,CARRERA 64C No. 103 GG- 75,BIODIESEL EXTRA,8390,1,2018-05-02,2018,5,CARRERA 64C No. 103 GG- 75,"CARRERA 64C No. 103 GG- 75, Medellin, Colombia","(6.30102, -75.56425)"
5,ANTIOQUIA,5360,ITAGUI,ESTACION TEXACO #3,TEXACO,CARRERA 42 No. 73A-29,BIODIESEL EXTRA,8080,1,2018-05-04,2018,5,CARRERA 42 No. 73A-29,"CARRERA 42 No. 73A-29, Itagui, Colombia","(6.18076, -75.59176)"
5,ANTIOQUIA,5360,ITAGUI,ESTACION TEXACO #3,TEXACO,CARRERA 42 No. 73A-29,GASOLINA CORRIENTE OXIGENADA,8790,1,2018-05-04,2018,5,CARRERA 42 No. 73A-29,"CARRERA 42 No. 73A-29, Itagui, Colombia","(6.18076, -75.59176)"
